/home/runner/work/virtualization/virtualization/output/effective.xml:354:89: error: element "comment" not allowed here; expected the element end-tag or text
/home/runner/work/virtualization/virtualization/output/effective.xml:355:83: error: element "comment" not allowed here; expected the element end-tag or text
/home/runner/work/virtualization/virtualization/output/effective.xml:880:86: error: value of attribute "g" is invalid; must be equal to "CC", "CEM", "feat-based-reqs", "glossary", "objective-reqs", "optional-reqs", "sel-based-reqs", "t-audit-impl-dep", "t-audit-mandatory", "t-audit-objective", "t-audit-optional", "t-audit-sel-based" or "use-case-appendix"
/home/runner/work/virtualization/virtualization/output/effective.xml:899:92: error: value of attribute "g" is invalid; must be equal to "CC", "CEM", "feat-based-reqs", "glossary", "objective-reqs", "optional-reqs", "sel-based-reqs", "t-audit-impl-dep", "t-audit-mandatory", "t-audit-objective", "t-audit-optional", "t-audit-sel-based" or "use-case-appendix"
/home/runner/work/virtualization/virtualization/output/effective.xml:911:120: error: value of attribute "g" is invalid; must be equal to "CC", "CEM", "feat-based-reqs", "glossary", "objective-reqs", "optional-reqs", "sel-based-reqs", "t-audit-impl-dep", "t-audit-mandatory", "t-audit-objective", "t-audit-optional", "t-audit-sel-based" or "use-case-appendix"
/home/runner/work/virtualization/virtualization/output/effective.xml:1147:262: error: text not allowed here; expected the element end-tag or element "not-selectable" or "selectable"
/home/runner/work/virtualization/virtualization/output/effective.xml:3198:35: error: element "depends" not allowed here; expected the element end-tag or element "audit-event", "description" or "f-element"
/home/runner/work/virtualization/virtualization/output/effective.xml:3213:35: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "dependencies", "description", "f-element" or "management"
/home/runner/work/virtualization/virtualization/output/effective.xml:3234:36: error: element "depends" not allowed here; expected the element end-tag or element "audit-event", "description" or "f-element"
/home/runner/work/virtualization/virtualization/output/effective.xml:3252:36: error: element "depends" not allowed here; expected the element end-tag or element "audit-event", "description" or "f-element"
/home/runner/work/virtualization/virtualization/output/effective.xml:4320:36: error: element "depends" not allowed here; expected the element end-tag or element "audit-event", "description" or "f-element"
