/home/runner/work/virtualization/virtualization/input/virtualization.xml:420:89: error: element "comment" not allowed here; expected the element end-tag or text
/home/runner/work/virtualization/virtualization/input/virtualization.xml:421:83: error: element "comment" not allowed here; expected the element end-tag or text
/home/runner/work/virtualization/virtualization/input/virtualization.xml:946:86: error: value of attribute "g" is invalid; must be equal to "CC", "CEM", "feat-based-reqs", "glossary", "objective-reqs", "optional-reqs", "sel-based-reqs", "t-audit-impl-dep", "t-audit-mandatory", "t-audit-objective", "t-audit-optional", "t-audit-sel-based" or "use-case-appendix"
/home/runner/work/virtualization/virtualization/input/virtualization.xml:965:92: error: value of attribute "g" is invalid; must be equal to "CC", "CEM", "feat-based-reqs", "glossary", "objective-reqs", "optional-reqs", "sel-based-reqs", "t-audit-impl-dep", "t-audit-mandatory", "t-audit-objective", "t-audit-optional", "t-audit-sel-based" or "use-case-appendix"
/home/runner/work/virtualization/virtualization/input/virtualization.xml:977:120: error: value of attribute "g" is invalid; must be equal to "CC", "CEM", "feat-based-reqs", "glossary", "objective-reqs", "optional-reqs", "sel-based-reqs", "t-audit-impl-dep", "t-audit-mandatory", "t-audit-objective", "t-audit-optional", "t-audit-sel-based" or "use-case-appendix"
/home/runner/work/virtualization/virtualization/input/virtualization.xml:1213:274: error: text not allowed here; expected the element end-tag or element "not-selectable" or "selectable"
/home/runner/work/virtualization/virtualization/input/virtualization.xml:3264:35: error: element "depends" not allowed here; expected the element end-tag or element "audit-event", "description" or "f-element"
/home/runner/work/virtualization/virtualization/input/virtualization.xml:3279:35: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "dependencies", "description", "f-element" or "management"
/home/runner/work/virtualization/virtualization/input/virtualization.xml:3300:36: error: element "depends" not allowed here; expected the element end-tag or element "audit-event", "description" or "f-element"
/home/runner/work/virtualization/virtualization/input/virtualization.xml:3318:36: error: element "depends" not allowed here; expected the element end-tag or element "audit-event", "description" or "f-element"
/home/runner/work/virtualization/virtualization/input/virtualization.xml:4386:36: error: element "depends" not allowed here; expected the element end-tag or element "audit-event", "description" or "f-element"
